repo,repo_id,date,cve
ai/nanoid,99401299,2022-01-21,CVE-2021-23566
ai/nanoid,99401299,2024-12-09,CVE-2024-55565
aio-libs/aiohttp,13258039,2021-02-26,CVE-2021-21330
aio-libs/aiohttp,13258039,2023-07-20,CVE-2023-37276
aio-libs/aiohttp,13258039,2023-11-14,CVE-2023-47627
aio-libs/aiohttp,13258039,2023-11-14,CVE-2023-47641
aio-libs/aiohttp,13258039,2023-11-27,CVE-2023-49081
aio-libs/aiohttp,13258039,2023-11-27,CVE-2023-49082
aio-libs/aiohttp,13258039,2023-11-27,GHSA-pjjw-qhg8-p2p9
aio-libs/aiohttp,13258039,2024-01-29,CVE-2024-23334
aio-libs/aiohttp,13258039,2024-01-29,CVE-2024-23829
aio-libs/aiohttp,13258039,2024-04-18,CVE-2024-27306
aio-libs/aiohttp,13258039,2024-05-03,CVE-2024-30251
aio-libs/aiohttp,13258039,2024-08-09,CVE-2024-42367
aio-libs/aiohttp,13258039,2024-11-18,CVE-2024-52303
aio-libs/aiohttp,13258039,2024-11-18,CVE-2024-52304
aio-libs/aiohttp,13258039,2025-07-14,CVE-2025-53643
ajv-validator/ajv,35914020,2022-02-10,CVE-2020-15366
alexcrichton/tar-rs,21946092,2021-07-19,CVE-2021-38511
alexcrichton/tar-rs,21946092,2021-08-25,CVE-2018-20990
alexhuszagh/rust-lexical,155286170,2023-09-03,GHSA-2326-pfpj-vx3h
alexhuszagh/rust-lexical,155286170,2023-09-03,GHSA-c2hm-mjxv-89r4
amanieu/parking_lot,58731560,2021-08-25,CVE-2020-35910
andialbrecht/sqlparse,4067434,2021-09-10,CVE-2021-32839
andialbrecht/sqlparse,4067434,2023-04-18,CVE-2023-30608
andialbrecht/sqlparse,4067434,2024-04-15,CVE-2024-4340
antonk52/lilconfig,238967485,2024-10-31,CVE-2024-21537
apache/airflow,33884891,2021-02-17,BIT-airflow-2021-26559
apache/airflow,33884891,2021-02-17,BIT-airflow-2021-26697
apache/airflow,33884891,2021-04-20,BIT-airflow-2020-17515
apache/airflow,33884891,2021-04-20,BIT-airflow-2020-17526
apache/airflow,33884891,2021-04-30,BIT-airflow-2020-13927
apache/airflow,33884891,2021-05-02,BIT-airflow-2021-28359
apache/airflow,33884891,2021-06-18,BIT-airflow-2020-13944
apache/airflow,33884891,2021-08-16,BIT-airflow-2021-35936
apache/airflow,33884891,2021-09-09,BIT-airflow-2021-38540
apache/airflow,33884891,2022-01-20,BIT-airflow-2021-45230
apache/airflow,33884891,2022-02-25,BIT-airflow-2021-45229
apache/airflow,33884891,2022-02-25,BIT-airflow-2022-24288
apache/airflow,33884891,2022-05-14,CVE-2017-12614
apache/airflow,33884891,2022-08-17,CVE-2022-38362
apache/airflow,33884891,2022-09-02,BIT-airflow-2022-38054
apache/airflow,33884891,2022-09-02,BIT-airflow-2022-38170
apache/airflow,33884891,2022-09-21,BIT-airflow-2022-40604
apache/airflow,33884891,2022-09-21,BIT-airflow-2022-40754
apache/airflow,33884891,2022-10-07,BIT-airflow-2022-41672
apache/airflow,33884891,2022-11-02,BIT-airflow-2022-43982
apache/airflow,33884891,2022-11-02,BIT-airflow-2022-43985
apache/airflow,33884891,2022-11-14,BIT-airflow-2022-27949
apache/airflow,33884891,2022-11-14,BIT-airflow-2022-40127
apache/airflow,33884891,2022-11-15,BIT-airflow-2022-45402
apache/airflow,33884891,2022-11-22,BIT-airflow-2022-38649
apache/airflow,33884891,2022-11-22,BIT-airflow-2022-40189
apache/airflow,33884891,2022-11-22,BIT-airflow-2022-40954
apache/airflow,33884891,2023-01-21,BIT-airflow-2023-22884
apache/airflow,33884891,2023-02-24,CVE-2023-25691
apache/airflow,33884891,2023-02-24,CVE-2023-25692
apache/airflow,33884891,2023-02-24,CVE-2023-25956
apache/airflow,33884891,2023-03-15,BIT-airflow-2023-25695
apache/airflow,33884891,2023-04-07,CVE-2023-28707
apache/airflow,33884891,2023-05-08,BIT-airflow-2023-25754
apache/airflow,33884891,2023-05-08,BIT-airflow-2023-29247
apache/airflow,33884891,2023-06-19,BIT-airflow-2023-35005
apache/airflow,33884891,2023-06-27,CVE-2023-35798
apache/airflow,33884891,2023-07-06,CVE-2023-33234
apache/airflow,33884891,2023-07-12,BIT-airflow-2022-46651
apache/airflow,33884891,2023-07-12,BIT-airflow-2023-22887
apache/airflow,33884891,2023-07-12,BIT-airflow-2023-22888
apache/airflow,33884891,2023-07-12,BIT-airflow-2023-35908
apache/airflow,33884891,2023-07-12,BIT-airflow-2023-36543
apache/airflow,33884891,2023-08-05,BIT-airflow-2023-39508
apache/airflow,33884891,2023-08-11,CVE-2023-39553
apache/airflow,33884891,2023-08-23,BIT-airflow-2023-37379
apache/airflow,33884891,2023-08-23,BIT-airflow-2023-39441
apache/airflow,33884891,2023-08-23,BIT-airflow-2023-40273
apache/airflow,33884891,2023-09-12,BIT-airflow-2023-40611
apache/airflow,33884891,2023-09-12,BIT-airflow-2023-40712
apache/airflow,33884891,2023-10-14,BIT-airflow-2023-42663
apache/airflow,33884891,2023-10-14,BIT-airflow-2023-42780
apache/airflow,33884891,2023-10-14,BIT-airflow-2023-42792
apache/airflow,33884891,2023-10-14,BIT-airflow-2023-45348
apache/airflow,33884891,2023-10-23,BIT-airflow-2023-46288
apache/airflow,33884891,2023-10-28,BIT-airflow-2023-46215
apache/airflow,33884891,2023-11-12,BIT-airflow-2023-42781
apache/airflow,33884891,2023-11-12,BIT-airflow-2023-47037
apache/airflow,33884891,2023-12-21,BIT-airflow-2023-47265
apache/airflow,33884891,2023-12-21,BIT-airflow-2023-48291
apache/airflow,33884891,2023-12-21,BIT-airflow-2023-49920
apache/airflow,33884891,2023-12-21,BIT-airflow-2023-50783
apache/airflow,33884891,2024-01-24,BIT-airflow-2023-50943
apache/airflow,33884891,2024-01-24,BIT-airflow-2023-50944
apache/airflow,33884891,2024-01-24,BIT-airflow-2023-51702
apache/airflow,33884891,2024-02-29,BIT-airflow-2024-27906
apache/airflow,33884891,2024-03-01,BIT-airflow-2024-26280
apache/airflow,33884891,2024-03-14,BIT-airflow-2024-28746
apache/airflow,33884891,2024-03-26,BIT-airflow-2024-29735
apache/airflow,33884891,2024-04-18,BIT-airflow-2024-31869
apache/airflow,33884891,2024-04-21,CVE-2024-29733
apache/airflow,33884891,2024-05-14,BIT-airflow-2024-32077
apache/airflow,33884891,2024-06-14,BIT-airflow-2024-25142
apache/airflow,33884891,2024-07-17,BIT-airflow-2024-39863
apache/airflow,33884891,2024-07-17,BIT-airflow-2024-39877
apache/airflow,33884891,2024-08-05,CVE-2024-42447
apache/airflow,33884891,2024-08-21,BIT-airflow-2024-41937
apache/airflow,33884891,2024-09-07,BIT-airflow-2024-45034
apache/airflow,33884891,2024-09-07,BIT-airflow-2024-45498
apache/airflow,33884891,2024-11-08,BIT-airflow-2024-50378
apache/airflow,33884891,2024-11-15,BIT-airflow-2024-45784
apache/airflow,33884891,2025-01-08,CVE-2024-45033
apache/airflow,33884891,2025-03-19,CVE-2025-27018
apache/airflow,33884891,2025-04-07,CVE-2025-30473
apache/airflow,33884891,2025-06-24,CVE-2025-50213
apache/airflow,33884891,2025-09-26,BIT-airflow-2025-54831
apache/airflow,33884891,2025-10-30,BIT-airflow-2025-54941
apache/airflow,33884891,2025-10-30,BIT-airflow-2025-62402
apache/airflow,33884891,2025-10-30,BIT-airflow-2025-62503
apache/airflow,33884891,2025-12-15,BIT-airflow-2025-66388
apache/arrow,51905353,2022-05-24,CVE-2019-12408
apache/arrow,51905353,2022-05-24,CVE-2019-12410
apache/arrow,51905353,2023-11-09,CVE-2023-47248
apache/arrow,51905353,2024-11-28,CVE-2024-52338
apache/arrow-rs,358917250,2021-09-14,GHSA-h588-76vg-prgj
apache/arrow-rs,358917250,2021-09-14,GHSA-qgrp-8f3v-q85p
apache/arrow-rs,358917250,2021-09-14,GHSA-r7cj-wmwv-hfw5
archlinux/linux,142707813,2021-05-27,DEBIAN-CVE-2008-2544
archlinux/linux,142707813,2021-06-07,DEBIAN-CVE-2018-25015
archlinux/linux,142707813,2021-11-02,DEBIAN-CVE-2017-5123
archlinux/linux,142707813,2021-12-08,DEBIAN-CVE-2018-25020
archlinux/linux,142707813,2022-04-18,DEBIAN-CVE-2011-4917
archlinux/linux,142707813,2022-07-12,DEBIAN-CVE-2011-4916
archlinux/linux,142707813,2024-06-27,DEBIAN-CVE-2016-20022
axios/axios,23088740,2021-01-04,CVE-2020-28168
axios/axios,23088740,2021-09-01,CVE-2021-3749
axios/axios,23088740,2023-11-08,CVE-2023-45857
axios/axios,23088740,2024-08-12,CVE-2024-39338
axios/axios,23088740,2025-03-07,CVE-2025-27152
axios/axios,23088740,2025-09-11,CVE-2025-58754
azure/azure-sdk-for-js,108311273,2024-06-11,CVE-2024-35255
azure/azure-sdk-for-python,4127088,2022-07-13,CVE-2022-30187
azure/azure-sdk-for-python,4127088,2024-06-11,CVE-2024-35255
babel/babel,24560307,2023-10-16,CVE-2023-45133
babel/babel,24560307,2025-03-11,CVE-2025-27789
bincode-org/bincode,24130045,2025-12-16,RUSTSEC-2025-0141
bminor/glibc,13868694,2021-01-04,DEBIAN-CVE-2019-25013
bminor/glibc,13868694,2021-01-27,DEBIAN-CVE-2021-3326
bminor/glibc,13868694,2021-02-24,DEBIAN-CVE-2021-27645
bminor/glibc,13868694,2021-02-26,DEBIAN-CVE-2020-27618
bminor/glibc,13868694,2021-05-25,DEBIAN-CVE-2021-33574
bminor/glibc,13868694,2021-07-22,DEBIAN-CVE-2021-35942
bminor/glibc,13868694,2021-11-04,DEBIAN-CVE-2021-43396
bminor/glibc,13868694,2022-01-14,DEBIAN-CVE-2022-23218
bminor/glibc,13868694,2022-01-14,DEBIAN-CVE-2022-23219
bminor/glibc,13868694,2022-08-24,DEBIAN-CVE-2021-3998
bminor/glibc,13868694,2022-08-24,DEBIAN-CVE-2021-3999
bminor/glibc,13868694,2022-10-17,DLA-3152-1
bminor/glibc,13868694,2023-06-25,DEBIAN-CVE-2015-20109
bminor/glibc,13868694,2023-09-12,DEBIAN-CVE-2023-4813
bminor/glibc,13868694,2023-09-18,DEBIAN-CVE-2023-4527
bminor/glibc,13868694,2023-09-18,DEBIAN-CVE-2023-4806
bminor/glibc,13868694,2023-09-25,DEBIAN-CVE-2023-5156
bminor/glibc,13868694,2023-10-03,DEBIAN-CVE-2023-4911
bminor/glibc,13868694,2023-10-03,DSA-5514-1
bminor/glibc,13868694,2024-01-30,DSA-5611-1
bminor/glibc,13868694,2024-01-31,DEBIAN-CVE-2023-6246
bminor/glibc,13868694,2024-01-31,DEBIAN-CVE-2023-6779
bminor/glibc,13868694,2024-01-31,DEBIAN-CVE-2023-6780
bminor/glibc,13868694,2024-04-17,DEBIAN-CVE-2024-2961
bminor/glibc,13868694,2024-04-23,DSA-5673-1
bminor/glibc,13868694,2024-05-03,DSA-5678-1
bminor/glibc,13868694,2024-05-04,DLA-3807-1
bminor/glibc,13868694,2024-05-06,DEBIAN-CVE-2024-33599
bminor/glibc,13868694,2024-05-06,DEBIAN-CVE-2024-33600
bminor/glibc,13868694,2024-05-06,DEBIAN-CVE-2024-33601
bminor/glibc,13868694,2024-05-06,DEBIAN-CVE-2024-33602
bminor/glibc,13868694,2024-06-30,DLA-3850-1
bminor/glibc,13868694,2025-01-22,DEBIAN-CVE-2025-0395
bminor/glibc,13868694,2025-04-30,DLA-4143-1
bminor/glibc,13868694,2025-05-16,DEBIAN-CVE-2025-4802
bminor/glibc,13868694,2025-05-27,DLA-4181-1
bminor/glibc,13868694,2025-06-05,DEBIAN-CVE-2025-5702
bminor/glibc,13868694,2025-06-05,DEBIAN-CVE-2025-5745
bminor/glibc,13868694,2025-07-23,DEBIAN-CVE-2025-8058
browserslist/browserslist,27971466,2021-05-24,CVE-2021-23364
bytecodealliance/rustix,295544240,2023-10-18,CVE-2024-43806
c-ares/c-ares,571708,2021-05-13,DEBIAN-CVE-2020-14354
c-ares/c-ares,571708,2021-08-10,DLA-2738-1
c-ares/c-ares,571708,2021-08-10,DSA-4954-1
c-ares/c-ares,571708,2021-11-23,DEBIAN-CVE-2021-3672
c-ares/c-ares,571708,2023-02-18,DLA-3323-1
c-ares/c-ares,571708,2023-03-06,DEBIAN-CVE-2022-4904
c-ares/c-ares,571708,2023-05-25,DEBIAN-CVE-2023-31124
c-ares/c-ares,571708,2023-05-25,DEBIAN-CVE-2023-31130
c-ares/c-ares,571708,2023-05-25,DEBIAN-CVE-2023-31147
c-ares/c-ares,571708,2023-05-25,DEBIAN-CVE-2023-32067
c-ares/c-ares,571708,2023-06-07,DSA-5419-1
c-ares/c-ares,571708,2023-06-26,DLA-3471-1
c-ares/c-ares,571708,2023-08-22,DEBIAN-CVE-2020-22217
c-ares/c-ares,571708,2023-09-15,DLA-3567-1
c-ares/c-ares,571708,2024-02-23,DEBIAN-CVE-2024-25629
c-ares/c-ares,571708,2025-04-08,DEBIAN-CVE-2025-31498
c-ares/c-ares,571708,2025-12-08,DEBIAN-CVE-2025-62408
c-ares/c-ares,571708,2025-12-18,DSA-6084-1
caolan/async,698041,2022-04-07,CVE-2021-43138
certifi/python-certifi,3060959,2022-12-07,CVE-2022-23491
certifi/python-certifi,3060959,2023-07-25,CVE-2023-37920
certifi/python-certifi,3060959,2024-07-05,CVE-2024-39689
chalk/ansi-regex,20451415,2021-09-20,CVE-2021-3807
chalk/ansi-regex,20451415,2025-09-08,GHSA-jvhh-2m83-6w29
chalk/ansi-styles,11803168,2025-09-08,GHSA-p5rr-crjh-x7gr
chalk/chalk,11855195,2025-09-08,GHSA-2v46-p5h4-248w
chalk/slice-ansi,43191689,2025-09-08,GHSA-9xjj-cmqc-578p
chalk/strip-ansi,15014856,2025-09-08,GHSA-vfjc-p7x3-q864
chalk/supports-color,11855007,2025-09-08,GHSA-pj3j-3w3f-j752
chalk/wrap-ansi,41053676,2025-09-08,GHSA-2rv4-jp6r-xgq7
colinhacks/zod,245704608,2023-09-28,CVE-2023-4316
colorjs/color-name,27038309,2025-09-08,CVE-2025-59145
comex/rust-shlex,37886228,2024-01-21,CVE-2024-58266
