"package","github_repo","git","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"xvid","","","c/c++","216748","0","429107","73523","169211","195151","True","True","False","0.00050655","C","gpl-2.0-or-later"
"jbig2dec","ArtifexSoftware/jbig2dec","https://github.com/artifexsoftware/jbig2dec.git","c/c++","179523","0","366274","81497","169994","100330","True","True","False","0.00050469","C","agpl-3.0-or-later"
"perl","","","c/c++","214762","0","339524","125467","209534","184525","True","True","False","0.00050157","C","artistic-1.0-perl or gpl-1.0-or-later"
"gemini-cli","google-gemini/gemini-cli","https://github.com/google-gemini/gemini-cli.git","node","215943","0","0","0","0","215943","True","False","False","0.00049661","C","apache-2.0"
"linux-headers@5.15","","","c/c++","215600","0","63","250757","390938","220642","True","True","False","0.00049582","C","gpl-2.0-only"
"jemalloc","jemalloc/jemalloc","https://github.com/jemalloc/jemalloc.git","c/c++","150134","0","526814","32677","24382","16663","True","True","False","0.00049445","C","bsd-2-clause"
"tbb","uxlfoundation/oneTBB","https://github.com/uxlfoundation/onetbb.git","c/c++","185349","0","218387","50231","353130","119648","True","True","False","0.00048775","C","apache-2.0"
"pipx","","","c/c++","211504","0","67276","25611","370952","382180","True","True","False","0.00048640","C","mit"
"docutils","","","c/c++","204737","0","422855","201644","142077","52374","True","True","False","0.00047084","C","licenseref-homebrew-public-domain and bsd-2-clause and gpl-3.0-or-later and python-2.0"
"mysql-client","mysql/mysql-server","https://github.com/mysql/mysql-server.git","c/c++","183050","0","303616","98657","172910","157020","True","True","True","0.00047051","D","gpl-2.0-only with universal-foss-exception-1.0"
"libxcrypt","besser82/libxcrypt","https://github.com/besser82/libxcrypt.git","c/c++","191454","0","775","131701","279750","353590","True","True","False","0.00046868","D","lgpl-2.1-or-later"
"mbedtls@3","Mbed-TLS/mbedtls","https://github.com/mbed-tls/mbedtls.git","c/c++","38011","0","0","0","0","38011","True","True","True","0.00046584","D","apache-2.0"
"nginx","","","c/c++","199519","0","374150","112102","165451","146374","True","True","False","0.00045884","D","bsd-2-clause"
"tidy-html5","htacg/tidy-html5","https://github.com/htacg/tidy-html5.git","c/c++","155182","0","403204","49585","82904","85037","True","True","True","0.00045840","D","zlib"
"luv","luvit/luv","https://github.com/luvit/luv.git","c/c++","153045","0","310600","45155","111404","145024","True","True","False","0.00044965","D","apache-2.0"
"gtk+3","","","c/c++","168928","0","231053","82879","210611","151171","True","True","False","0.00044778","D","lgpl-2.0-or-later"
"pmix","openpmix/openpmix","https://github.com/openpmix/openpmix.git","c/c++","156405","0","0","0","166154","146656","True","True","False","0.00044457","D","bsd-3-clause"
"grep","","","c/c++","91840","0","196725","58267","47748","64623","True","True","False","0.00044447","D","gpl-3.0-or-later"
"gsettings-desktop-schemas","","","c/c++","158379","0","191718","78881","203061","159857","True","True","False","0.00044420","D","lgpl-2.1-or-later"
"terragrunt","gruntwork-io/terragrunt","https://github.com/gruntwork-io/terragrunt.git","go","192970","0","96196","105491","272620","297576","True","False","False","0.00044378","D","mit"
"util-linux","util-linux/util-linux","https://github.com/util-linux/util-linux.git","c/c++","184213","0","10463","99297","264598","362495","True","True","True","0.00044133","D","bsd-3-clause and bsd-4-clause-uc and gpl-2.0-only and gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain"
"aribb24","","","c/c++","188899","0","241848","111713","185929","216109","True","True","False","0.00043770","D","lgpl-3.0-only"
"eza","eza-community/eza","https://github.com/eza-community/eza.git","rust","189928","0","0","4402","257208","308174","True","False","False","0.00043678","D","eupl-1.2"
"docbook","docbook/docbook","https://github.com/docbook/docbook.git","c/c++","81968","0","241309","8467","35607","42490","True","True","False","0.00043521","D","licenseref-homebrew-cannot-represent"
"ccache","ccache/ccache","https://github.com/ccache/ccache.git","c/c++","185909","0","135149","72440","221339","314709","True","True","False","0.00042754","D","gpl-3.0-or-later"
"aspell","","","c/c++","169848","0","397345","55102","171191","55754","True","True","False","0.00042417","D","lgpl-2.1-only"
"assimp","assimp/assimp","https://github.com/assimp/assimp.git","c/c++","166746","0","318859","33763","197412","116952","True","True","True","0.00041647","D","bsd-3-clause and cc-pddc and mit and bsl-1.0 and unlicense and zlib"
"zsh","","","c/c++","180487","0","354051","70587","149507","147804","True","True","False","0.00041507","D","mit-modern-variant and gpl-2.0-only and gpl-2.0-or-later and isc"
"argon2","P-H-C/phc-winner-argon2","https://github.com/p-h-c/phc-winner-argon2.git","c/c++","136030","0","369387","42939","70107","61689","True","True","False","0.00041436","D","apache-2.0"
"hdrhistogram_c","HdrHistogram/HdrHistogram_c","https://github.com/hdrhistogram/hdrhistogram_c.git","c/c++","0","0","0","0","0","0","False","True","False","0.00041220","D","cc0-1.0 or bsd-2-clause"
"gts","","","c/c++","143973","0","226115","75647","141636","132497","True","True","False","0.00041145","D","lgpl-2.0-or-later"
"ada-url","ada-url/ada","https://github.com/ada-url/ada.git","c/c++","471","0","0","342","249","822","False","True","True","0.00041049","D","apache-2.0 or mit"
"podman","containers/podman","https://github.com/containers/podman.git","go","174060","0","220730","82480","186894","206137","True","False","False","0.00040980","D","apache-2.0 and gpl-3.0-or-later"
"liblinear","","","c/c++","144025","0","307713","61742","77165","129481","True","True","False","0.00040977","D","bsd-3-clause"
"libslirp","","https://gitlab.freedesktop.org/slirp/libslirp.git","c/c++","153871","0","338475","35008","117906","124096","True","True","False","0.00040974","D","bsd-3-clause"
"merve","nodejs/merve","https://github.com/nodejs/merve.git","c/c++","0","0","0","0","0","0","False","True","False","0.00040941","D","apache-2.0"
"nbytes","nodejs/nbytes","https://github.com/nodejs/nbytes.git","c/c++","0","0","0","0","0","0","False","True","False","0.00040941","D","mit"
"emacs","","","c/c++","153100","0","289170","59223","161169","102840","True","True","False","0.00040746","D","gpl-3.0-or-later"
"unibilium","neovim/unibilium","https://github.com/neovim/unibilium.git","c/c++","93304","0","154685","27235","104900","86399","True","True","False","0.00040397","D","lgpl-3.0-or-later"
"zlib-ng-compat","zlib-ng/zlib-ng","https://github.com/zlib-ng/zlib-ng.git","c/c++","124","0","0","0","0","124","False","True","True","0.00040386","D","zlib"
"icu4c@75","unicode-org/icu","https://github.com/unicode-org/icu.git","c/c++","175176","0","0","0","320609","29743","True","True","True","0.00040286","D","icu"
"hugo","gohugoio/hugo","https://github.com/gohugoio/hugo.git","go","175023","0","236002","79134","212445","172512","True","False","False","0.00040250","D","apache-2.0"
"open-mpi","","","c/c++","162350","0","233041","49257","208203","158901","True","True","False","0.00039959","D","bsd-3-clause"
"capstone","capstone-engine/capstone","https://github.com/capstone-engine/capstone.git","c/c++","148490","0","281539","65677","134959","111785","True","True","True","0.00039737","D","bsd-3-clause"
"mint","yonaskolb/Mint","https://github.com/yonaskolb/mint.git","c/c++","172762","0","49044","71610","307724","262671","True","True","False","0.00039730","D","mit"
"virtualenv","","","c/c++","169081","0","261843","142882","169937","101662","True","True","False","0.00038884","D","mit"
"simdutf","simdutf/simdutf","https://github.com/simdutf/simdutf.git","c/c++","8524","0","76","333","1249","32440","False","True","True","0.00038556","D","apache-2.0 or mit"
"libthai","","","c/c++","0","0","0","0","0","0","False","True","False","0.00038425","D","lgpl-2.1-or-later"
"at-spi2-core","","","c/c++","137179","0","0","4122","193121","214294","True","True","False","0.00037671","D","lgpl-2.1-or-later"
"protobuf@29","protocolbuffers/protobuf","https://github.com/protocolbuffers/protobuf.git","c/c++","163550","0","0","0","0","163550","True","True","False","0.00037612","D","bsd-3-clause"
"liblqr","carlobaldassi/liblqr","https://github.com/carlobaldassi/liblqr.git","c/c++","159556","0","242240","43951","195410","156623","True","True","False","0.00037034","D","lgpl-3.0-only"
"grpc","grpc/grpc","https://github.com/grpc/grpc.git","c/c++","154288","0","154815","81978","197549","182810","True","True","False","0.00036997","D","apache-2.0"
"meson","mesonbuild/meson","https://github.com/mesonbuild/meson.git","c/c++","157988","0","191904","84483","167883","187683","True","True","False","0.00036333","D","apache-2.0"
"libxi","","","c/c++","105371","0","22169","32884","202952","163480","True","True","False","0.00036330","D","mit"
"openvino","openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino.git","c/c++","152146","0","130","15000","462456","130998","True","True","False","0.00035864","D","apache-2.0"
"ripgrep","BurntSushi/ripgrep","https://github.com/burntsushi/ripgrep.git","rust","139729","0","98520","32211","167737","260450","True","False","False","0.00035702","D","unlicense"
"colima","abiosoft/colima","https://github.com/abiosoft/colima.git","go","155147","0","187261","59403","200731","173196","True","False","False","0.00035679","D","mit"
"msgpack","msgpack/msgpack-c","https://github.com/msgpack/msgpack-c.git","c/c++","142961","0","295706","52210","176247","47681","True","True","True","0.00035675","D","bsl-1.0"
"minikube","kubernetes/minikube","https://github.com/kubernetes/minikube.git","go","154261","0","318987","78294","115679","104086","True","False","False","0.00035476","D","apache-2.0"
"libxfixes","","","c/c++","107069","0","24675","35060","185101","183440","True","True","False","0.00035157","D","mit"
"vde","virtualsquare/vde-2","https://github.com/virtualsquare/vde-2.git","c/c++","126761","0","375267","41437","55130","35210","True","True","False","0.00034740","D","gpl-2.0-or-later and lgpl-2.1-or-later"
"node@20","","","python","150922","0","0","0","168427","133418","True","False","False","0.00034708","D","mit"
"md4c","mity/md4c","https://github.com/mity/md4c.git","c/c++","80766","0","94874","19592","123981","84619","True","True","True","0.00034088","D","mit"
"qtsvg","","","c/c++","22546","0","0","0","0","22546","True","True","False","0.00033855","D","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and bsd-3-clause"
"cmocka","","","c/c++","145621","0","541167","22712","11246","7362","True","True","False","0.00033489","D","apache-2.0"
"k9s","derailed/k9s","https://github.com/derailed/k9s.git","go","142826","0","175280","33008","129799","233217","True","False","False","0.00032846","D","apache-2.0"
"libdatrie","tlwg/libdatrie","https://github.com/tlwg/libdatrie.git","c/c++","27","0","0","0","14","41","False","True","False","0.00032674","D","lgpl-2.1-or-later"
"pipenv","pypa/pipenv","https://github.com/pypa/pipenv.git","c/c++","141668","0","276267","99514","113260","77631","True","True","False","0.00032580","D","mit"
"re2","google/re2","https://github.com/google/re2.git","c/c++","107577","0","124624","55999","135871","113814","True","True","True","0.00032542","D","bsd-3-clause"
"pre-commit","","","c/c++","140510","0","200748","81647","153162","126485","True","True","False","0.00032313","D","mit"
"fastlane","fastlane/fastlane","https://github.com/fastlane/fastlane.git","c/c++","140104","0","199183","59439","155055","146742","True","True","False","0.00032220","D","mit"
"jansson","akheron/jansson","https://github.com/akheron/jansson.git","c/c++","100151","0","260787","30024","48405","61388","True","True","True","0.00032096","D","mit"
"gdal","OSGeo/gdal","https://github.com/osgeo/gdal.git","c/c++","136224","0","205200","67485","141190","131023","True","True","True","0.00032062","D","mit"
"bat","sharkdp/bat","https://github.com/sharkdp/bat.git","rust","139136","0","167750","41619","143237","203941","True","False","False","0.00031997","D","apache-2.0 or mit"
"ollama","ollama/ollama","https://github.com/ollama/ollama.git","go","138181","0","0","1024","115864","297657","True","False","False","0.00031778","D","mit"
"tcl-tk@8","","","c/c++","73084","0","0","0","40197","105971","True","True","False","0.00031489","D","tcl"
"sphinx-doc","","","c/c++","136251","0","240845","76753","122305","105102","True","True","False","0.00031334","D","bsd-2-clause"
"shellcheck","koalaman/shellcheck","https://github.com/koalaman/shellcheck.git","haskell","96304","0","70454","22701","125533","166529","True","False","False","0.00031244","D","gpl-3.0-or-later"
"gnu-sed","","","c/c++","135455","0","286724","55661","103086","96352","True","True","False","0.00031151","D","gpl-3.0-or-later"
"proj","OSGeo/PROJ","https://github.com/osgeo/proj.git","c/c++","102834","0","152571","41907","92246","124612","True","True","True","0.00031111","D","mit"
"libice","","","c/c++","56048","0","40116","26162","76341","81573","True","True","False","0.00030951","D","mit"
"pygments","","","c/c++","133370","0","266966","183330","65393","17793","True","True","False","0.00030671","D","bsd-2-clause"
"asdf","asdf-vm/asdf","https://github.com/asdf-vm/asdf.git","go","132196","0","199063","61579","114549","153596","True","False","False","0.00030401","D","mit"
"httpd","","","c/c++","131089","0","264221","72597","104414","83124","True","True","False","0.00030147","D","apache-2.0"
"starship","starship/starship","https://github.com/starship/starship.git","rust","129250","0","194012","54618","128547","139825","True","False","False","0.00029724","D","isc"
"kustomize","kubernetes-sigs/kustomize","https://github.com/kubernetes-sigs/kustomize.git","go","128778","0","74266","87897","175275","177677","True","False","False","0.00029615","D","apache-2.0"
"libnsl","thkukuk/libnsl","https://github.com/thkukuk/libnsl.git","c/c++","125032","0","0","89970","218988","66138","True","True","False","0.00029611","D","lgpl-2.1-or-later"
"the_silver_searcher","ggreer/the_silver_searcher","https://github.com/ggreer/the_silver_searcher.git","c/c++","128060","0","38290","98211","239271","136469","True","True","False","0.00029450","D","apache-2.0"
"netcdf","Unidata/netcdf-c","https://github.com/unidata/netcdf-c.git","c/c++","121654","0","242360","61450","85540","97266","True","True","True","0.00029341","D","bsd-3-clause"
"eigen","","https://gitlab.com/libeigen/eigen.git","c/c++","98603","0","142292","40595","94982","116545","True","True","False","0.00029135","D","mpl-2.0 and apache-2.0 and bsd-3-clause and minpack"
"popt","rpm-software-management/popt","https://github.com/rpm-software-management/popt.git","c/c++","85837","0","211392","24968","49050","57939","True","True","False","0.00028763","D","mit"
"direnv","direnv/direnv","https://github.com/direnv/direnv.git","go","124627","0","112357","48514","174702","162935","True","False","False","0.00028661","D","mit"
"jupyterlab","","","node","123888","0","125330","52782","158824","158619","True","False","False","0.00028491","D","bsd-3-clause and mit"
"minizip","","","c/c++","63344","0","137098","22770","55086","38424","True","True","False","0.00028407","D","zlib"
"argocd","argoproj/argo-cd","https://github.com/argoproj/argo-cd.git","go","123503","0","102417","59079","151606","180911","True","False","False","0.00028402","D","apache-2.0"
"geos","","","c/c++","76246","0","151139","31826","63620","58400","True","True","False","0.00028115","D","lgpl-2.1-or-later"
"flyctl","superfly/flyctl","https://github.com/superfly/flyctl.git","go","121406","0","94114","71904","150824","168785","True","False","False","0.00027920","D","apache-2.0"
"py3cairo","pygobject/pycairo","https://github.com/pygobject/pycairo.git","c/c++","99421","0","130881","48305","137369","81132","True","True","False","0.00027748","D","lgpl-2.1-only or mpl-1.1"
"libplist","libimobiledevice/libplist","https://github.com/libimobiledevice/libplist.git","c/c++","39268","0","76926","14448","36389","29309","True","True","True","0.00027492","D","lgpl-2.1-or-later"
"suite-sparse","DrTimothyAldenDavis/SuiteSparse","https://github.com/drtimothyaldendavis/suitesparse.git","c/c++","104057","0","183305","38650","110290","83983","True","True","False","0.00027474","D","bsd-3-clause and lgpl-2.1-or-later and gpl-2.0-or-later and apache-2.0 and gpl-3.0-only and (lgpl-3.0-or-later or gpl-2.0-or-later)"
"tfenv","tfutils/tfenv","https://github.com/tfutils/tfenv.git","c/c++","119366","0","104557","81669","156627","134614","True","True","False","0.00027451","D","mit"
"make","","","c/c++","118077","0","152783","75952","135734","107840","True","True","False","0.00027154","D","gpl-3.0-only"
"wxwidgets","wxWidgets/wxWidgets","https://github.com/wxwidgets/wxwidgets.git","c/c++","117507","0","268103","48628","90696","62603","True","True","True","0.00027023","D","lgpl-2.0-or-later with wxwindows-exception-3.1"
"mlx-c","ml-explore/mlx-c","https://github.com/ml-explore/mlx-c.git","c/c++","3","0","0","0","0","3","False","True","False","0.00027003","D","mit"
"hiredis","redis/hiredis","https://github.com/redis/hiredis.git","c/c++","90297","0","101720","50816","99829","108823","True","True","True","0.00026821","D","bsd-3-clause"
"libev","","","c/c++","35286","0","54019","29059","31966","26102","True","True","False","0.00026775","D","bsd-2-clause or gpl-2.0-or-later"
"opencv","opencv/opencv","https://github.com/opencv/opencv.git","c/c++","116403","0","140787","66179","154778","103869","True","True","True","0.00026769","D","apache-2.0"
"pugixml","zeux/pugixml","https://github.com/zeux/pugixml.git","c/c++","93632","0","134067","14825","166611","59028","True","True","True","0.00026594","D","mit"
"poetry","","","rust","115372","0","136036","61543","129543","134368","True","False","False","0.00026532","D","mit"
"terminal-notifier","julienXX/terminal-notifier","https://github.com/julienxx/terminal-notifier.git","c/c++","55071","0","83800","15591","53705","67189","True","True","False","0.00026354","D","mit"
"gradle-completion","gradle/gradle-completion","https://github.com/gradle/gradle-completion.git","c/c++","2756","0","1811","364","549","8300","False","True","False","0.00026312","D","mit"
"subversion","","","python","113830","0","173187","58336","117998","105799","True","False","False","0.00026178","D","apache-2.0"
"hunspell","hunspell/hunspell","https://github.com/hunspell/hunspell.git","c/c++","109510","0","267211","37095","76872","56865","True","True","True","0.00026058","D","mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later"
"libxtst","","","c/c++","88422","0","4773","21595","176645","150677","True","True","False","0.00026017","D","mit"
"aws-c-cal","awslabs/aws-c-cal","https://github.com/awslabs/aws-c-cal.git","c/c++","32847","0","0","0","2691","63003","True","True","False","0.00026005","D","apache-2.0"
"sops","getsops/sops","https://github.com/getsops/sops.git","go","110962","0","37469","27056","172437","206889","True","False","False","0.00025518","D","mpl-2.0"
"watch","","https://gitlab.com/procps-ng/procps.git","c/c++","110227","0","243649","50749","67961","78549","True","True","False","0.00025349","D","gpl-2.0-or-later and lgpl-2.1-or-later"
"net-snmp","","","c/c++","68153","0","12478","31852","73875","154407","True","True","False","0.00025139","D","mit-cmu and mit and bsd-3-clause"
"gstreamer","","https://gitlab.freedesktop.org/gstreamer/gstreamer.git","rust","108670","0","86007","69218","158851","120606","True","False","False","0.00024991","D","lgpl-2.0-or-later and lgpl-2.1-or-later and mit"
"apache-arrow","","","c/c++","104424","0","80112","63280","141587","132717","True","True","False","0.00024963","D","apache-2.0"
"hicolor-icon-theme","","","c/c++","84232","0","95597","34335","114598","92401","True","True","False","0.00024803","D","gpl-2.0-only"
"golangci-lint","golangci/golangci-lint","https://github.com/golangci/golangci-lint.git","go","106715","0","134319","60776","103703","128062","True","False","False","0.00024541","D","gpl-3.0-only"
"gtk4","","","c/c++","100659","0","18130","69797","182982","131728","True","True","False","0.00024328","D","lgpl-2.1-or-later"
"xcodegen","yonaskolb/XcodeGen","https://github.com/yonaskolb/xcodegen.git","c/c++","105646","0","39003","52149","175448","155986","True","True","False","0.00024296","D","mit"
"kubeconform","yannh/kubeconform","https://github.com/yannh/kubeconform.git","go","105187","0","4102","50257","178897","187492","True","False","False","0.00024190","D","apache-2.0"
"fish","fish-shell/fish-shell","https://github.com/fish-shell/fish-shell.git","rust","104998","0","172252","36674","70532","140537","True","False","False","0.00024147","D","gpl-2.0-only"
"bison","","","c/c++","104173","0","138248","61077","115375","101994","True","True","False","0.00023957","D","gpl-3.0-or-later"
"git-gui","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.53.0.tar.xz","c/c++","102727","0","201599","41942","92563","74804","True","True","False","0.00023624","D","gpl-2.0-only"
"mlx","ml-explore/mlx","https://github.com/ml-explore/mlx.git","c/c++","3114","0","0","0","1475","4753","False","True","False","0.00023622","D","mit and apache-2.0"
"aws-c-io","awslabs/aws-c-io","https://github.com/awslabs/aws-c-io.git","c/c++","32560","0","0","0","2024","63097","True","True","False","0.00023540","D","apache-2.0"
"libepoxy","anholt/libepoxy","https://github.com/anholt/libepoxy.git","c/c++","81254","0","133052","35450","79842","76672","True","True","False","0.00023523","D","mit"
"libimagequant","ImageOptim/libimagequant","https://github.com/imageoptim/libimagequant.git","rust","90806","0","170964","34239","82521","75503","True","False","False","0.00023306","D","gpl-3.0-or-later and hpnd"
"aws-sdk-cpp","aws/aws-sdk-cpp","https://github.com/aws/aws-sdk-cpp.git","c/c++","94341","0","86792","72175","112082","106315","True","True","False","0.00023211","D","apache-2.0"
"scrcpy","Genymobile/scrcpy","https://github.com/genymobile/scrcpy.git","c/c++","100474","0","130768","51212","113305","106614","True","True","False","0.00023106","D","apache-2.0"
"groonga","groonga/groonga","https://github.com/groonga/groonga.git","c/c++","90009","0","188778","38922","70847","61489","True","True","False","0.00023053","D","lgpl-2.1-or-later"
"pygobject3","","","c/c++","97625","0","124742","51564","122104","92090","True","True","False","0.00022992","D","lgpl-2.1-or-later"
"pillow","","","c/c++","91084","0","120205","38579","106096","99459","True","True","False","0.00022875","D","hpnd"
"libvterm","","","c/c++","99457","0","225517","52449","88696","31168","True","True","False","0.00022872","D","mit"
"p7zip","p7zip-project/p7zip","https://github.com/p7zip-project/p7zip.git","c/c++","85932","0","111281","37994","76560","117895","True","True","False","0.00022773","D","lgpl-2.1-or-later and gpl-2.0-or-later"
"docbook-xsl","docbook/xslt10-stylesheets","https://github.com/docbook/xslt10-stylesheets.git","c/c++","80145","0","239797","7900","34687","38198","True","True","False","0.00022697","D","mit"
"clang-format","llvm/llvm-project","https://github.com/llvm/llvm-project.git","c/c++","98106","0","132426","48392","106081","105525","True","True","True","0.00022562","D","apache-2.0 with llvm-exception"
"fd","sharkdp/fd","https://github.com/sharkdp/fd.git","rust","97972","0","144024","23607","107766","116491","True","False","False","0.00022531","D","apache-2.0 or mit"
"doxygen","","","c/c++","97634","0","142639","42662","108545","96690","True","True","False","0.00022453","D","gpl-2.0-only"
"utf8cpp","nemtrif/utfcpp","https://github.com/nemtrif/utfcpp.git","c/c++","60420","0","102201","25366","50773","63340","True","True","False","0.00022424","D","bsl-1.0"
"swig","","","c/c++","96459","0","154515","33341","90637","107346","True","True","False","0.00022183","D","gpl-3.0-or-later"
"vtk","","","c/c++","91433","0","139854","46618","100555","78705","True","True","False","0.00021902","D","bsd-3-clause"
"graphicsmagick","","","c/c++","93974","0","122936","57548","119599","75814","True","True","False","0.00021816","D","mit"
"jsoncpp","open-source-parsers/jsoncpp","https://github.com/open-source-parsers/jsoncpp.git","c/c++","87412","0","74626","55116","158331","61576","True","True","True","0.00021722","D","mit"
"lpeg","","","lua","51748","0","0","4816","81142","69287","True","False","False","0.00021670","D","mit"
"rsync","","","c/c++","77761","0","150682","33166","52845","74352","True","True","False","0.00021557","D","gpl-3.0-or-later"
"libmng","","","c/c++","89572","0","230702","22697","58639","46253","True","True","False","0.00021333","D","zlib"
"berkeley-db","","","c/c++","92616","0","247159","106274","11615","5419","True","True","False","0.00021299","D","agpl-3.0-only"
"ffmpeg@4","","","c/c++","90920","0","241524","30313","60317","31529","True","True","False","0.00020909","D","gpl-2.0-or-later"
"cfitsio","","","c/c++","86102","0","158496","29261","86666","69987","True","True","False","0.00020899","D","cfitsio"
"wimlib","","","c/c++","90303","0","178425","60563","67286","54938","True","True","False","0.00020767","D","gpl-3.0-or-later"
"wxwidgets@3.2","wxWidgets/wxWidgets","https://github.com/wxwidgets/wxwidgets.git","c/c++","17235","0","0","0","0","17235","True","True","True","0.00020689","D","lgpl-2.0-or-later with wxwindows-exception-3.1"
"glib-networking","","https://gitlab.gnome.org/GNOME/glib-networking.git","c/c++","80390","0","104923","61917","100784","53938","True","True","False","0.00020610","D","lgpl-2.1-or-later"
"postgresql@15","","","c/c++","89172","0","25506","65593","136257","129335","True","True","False","0.00020507","D","postgresql"
"json-c","json-c/json-c","https://github.com/json-c/json-c.git","c/c++","72181","0","131259","31923","66812","58732","True","True","True","0.00020237","D","mit"
"node@22","","","python","87927","0","0","0","25411","150443","True","False","False","0.00020221","D","mit"
"cloudflared","cloudflare/cloudflared","https://github.com/cloudflare/cloudflared.git","go","87278","0","20120","13820","131707","183467","True","False","False","0.00020072","D","apache-2.0"
"node@18","","","python","86982","0","62655","69763","131089","84421","True","False","False","0.00020003","D","mit"
"fastfetch","fastfetch-cli/fastfetch","https://github.com/fastfetch-cli/fastfetch.git","c/c++","86420","0","959","2375","107891","234456","True","True","False","0.00019874","D","mit"
"mvfst","facebook/mvfst","https://github.com/facebook/mvfst.git","c/c++","86003","0","0","1695","192214","64100","True","True","False","0.00019778","D","mit"
"tflint","terraform-linters/tflint","https://github.com/terraform-linters/tflint.git","go","85765","0","89157","39571","102493","111841","True","False","False","0.00019724","D","mpl-2.0"
"swiftformat","nicklockwood/SwiftFormat","https://github.com/nicklockwood/swiftformat.git","c/c++","84357","0","56906","48236","118114","114174","True","True","False","0.00019400","D","mit"
"mariadb","","","java","84311","0","147170","43007","84550","62520","True","False","False","0.00019389","D","gpl-2.0-only"
"libmagic","","","c/c++","71507","0","142761","33769","53202","56297","True","True","False","0.00019343","D","bsd-2-clause-darwin and bsd-2-clause and licenseref-homebrew-public-domain"
"pyenv-virtualenv","pyenv/pyenv-virtualenv","https://github.com/pyenv/pyenv-virtualenv.git","c/c++","83753","0","128718","34859","105633","65802","True","True","False","0.00019261","D","mit"
"lazygit","jesseduffield/lazygit","https://github.com/jesseduffield/lazygit.git","go","83329","0","37708","25912","82848","186850","True","False","False","0.00019163","D","mit"
"ipython","","","c/c++","83029","0","146220","53539","79397","52962","True","True","False","0.00019094","D","bsd-3-clause"
"pyqt","","","c/c++","81996","0","71168","33803","119726","103287","True","True","False","0.00018857","D","gpl-3.0-only"
"fftw","","","c/c++","78727","0","132896","25024","64916","92073","True","True","False","0.00018788","D","gpl-2.0-or-later and bsd-2-clause"
"dtc","","https://git.kernel.org/pub/scm/utils/dtc/dtc.git","c/c++","57133","0","6144","29366","124374","68648","True","True","False","0.00018727","D","gpl-2.0-or-later or bsd-2-clause"
"age","FiloSottile/age","https://github.com/filosottile/age.git","go","81122","0","7025","3567","272546","41352","True","False","False","0.00018656","D","bsd-3-clause"
"rabbitmq","rabbitmq/rabbitmq-server","https://github.com/rabbitmq/rabbitmq-server.git","erlang","80962","0","153407","46233","72204","52006","True","False","False","0.00018619","D","mpl-2.0"
"hello","","","c/c++","80754","0","1782","10760","49997","260480","True","True","False","0.00018571","D","gpl-3.0-or-later"
"pyqt@5","","","c/c++","80376","0","202801","40050","41212","37441","True","True","False","0.00018484","D","gpl-3.0-only"
"llama.cpp","ggml-org/llama","https://github.com/ggml-org/llama.cpp.git","c/c++","79971","0","0","0","32770","127172","True","True","False","0.00018391","D","mit"
"yyjson","ibireme/yyjson","https://github.com/ibireme/yyjson.git","c/c++","6469","0","0","54","104","19251","False","True","True","0.00018376","D","mit"
"acl","","","c/c++","78861","0","0","6255","73863","156467","True","True","False","0.00018136","D","gpl-2.0-or-later and lgpl-2.1-or-later"
"httpie","httpie/cli","https://github.com/httpie/cli.git","c/c++","77298","0","96409","46589","98849","67348","True","True","False","0.00017776","D","bsd-3-clause"
"mecab","","","c/c++","32762","0","58360","12729","32924","27037","True","True","False","0.00017746","D","gpl-2.0-only or lgpl-2.1-only or bsd-3-clause"
"libsoup","","","c/c++","74525","0","115016","45045","79207","58834","True","True","False","0.00017487","D","lgpl-2.0-or-later"
"gawk","","","c/c++","75556","0","172143","34047","57442","38595","True","True","False","0.00017376","D","gpl-3.0-or-later"
"alsa-lib","","","c/c++","75135","0","0","26752","97050","101605","True","True","False","0.00017279","D","lgpl-2.1-or-later and gpl-2.0-or-later"
"libpsl","rockdaboot/libpsl","https://github.com/rockdaboot/libpsl.git","c/c++","65530","0","96548","34517","90792","40266","True","True","True","0.00017193","D","mit"
"blake3","BLAKE3-team/BLAKE3","https://github.com/blake3-team/blake3.git","c/c++","48358","0","0","161","42216","102698","True","True","False","0.00017176","D","cc0-1.0 or apache-2.0"
"act","nektos/act","https://github.com/nektos/act.git","go","74271","0","94490","37089","82607","82899","True","False","False","0.00017080","D","mit"
"qtshadertools","","","c/c++","19469","0","0","0","0","19469","True","True","False","0.00017078","D","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and (gpl-3.0-only with qt-gpl-exception-1.0) and (apache-2.0 and mit-khronos-old) and (bsd-3-clause and mit-khronos-old and apache-2.0 and aml-glslang and (gpl-3.0-or-later with bison-exception-2.2)) and bsd-3-clause"
"gpgmepp","","","c/c++","52080","0","0","0","0","52080","True","True","False","0.00017000","D","lgpl-2.1-or-later"
"gnuplot","","","c/c++","73549","0","135612","47897","59340","51350","True","True","False","0.00016914","D","gnuplot"
